state,population,aggregate_income
Alabama,61000,1684000000
Alaska,6000,214000000
Arizona,263000,8343000000
Arkansas,64000,2081000000
California,2434000,92803000000
Colorado,156000,5585000000
Connecticut,117000,4264000000
Delaware,28000,843000000
District of Columbia,17000,773000000
Florida,747000,23074000000
Georgia,364000,11677000000
Hawaii,39000,1329000000
Idaho,30000,1001000000
Illinois,422000,15054000000
Indiana,105000,3353000000
Iowa,42000,1288000000
Kansas,75000,2157000000
Kentucky,51000,1400000000
Louisiana,64000,1823000000
Maine,5000,176000000
Maryland,259000,8945000000
Massachusetts,198000,8545000000
Michigan,111000,3644000000
Minnesota,82000,2856000000
Mississippi,21000,560000000
Missouri,57000,1543000000
Montana,1000,28000000
Nebraska,42000,1307000000
Nevada,180000,6034000000
New Hampshire,13000,467000000
New Jersey,428000,15837000000
New Mexico,61000,1661000000
New York,676000,29186000000
North Carolina,314000,9065000000
North Dakota,7000,189000000
Ohio,104000,3225000000
Oklahoma,89000,2545000000
Oregon,112000,3921000000
Pennsylvania,174000,5845000000
Rhode Island,29000,1037000000
South Carolina,97000,2784000000
South Dakota,8000,199000000
Tennessee,134000,3744000000
Texas,1863000,54978000000
Utah,92000,2825000000
Vermont,4000,102000000
Virginia,274000,8703000000
Washington,276000,11445000000
West Virginia,4000,117000000
Wisconsin,76000,2496000000
Wyoming,6000,232000000
SUM ALL STATES,10900000,373000000000
