"","state","sales_and_excise_taxes","property_taxes","personal_and_business_income_taxes","other_taxes","total_state_and_local_taxes","effective_tax_rate","population","aggregate_income","sales_capita","property_capita","personal_and_business_income_capita","other_capita","total_capita"
"1","Alabama",79600000,24900000,38300000,3200000,1.46e+08,8.7,61000,1.684e+09,1304.91803278689,408.196721311475,627.868852459016,52.4590163934426,2393.44262295082
"2","Alaska",3900000,5200000,2500000,1e+06,12600000,5.9,6000,2.14e+08,650,866.666666666667,416.666666666667,166.666666666667,2100
"3","Arizona",422100000,186900000,91200000,3800000,7.04e+08,8.4,263000,8.343e+09,1604.94296577947,710.6463878327,346.768060836502,14.4486692015209,2676.80608365019
"4","Arkansas",119700000,35300000,3.1e+07,2100000,188200000,9,64000,2.081e+09,1870.3125,551.5625,484.375,32.8125,2940.625
"5","California",3878400000,2605600000,1780500000,205600000,8470100000,9.1,2434000,9.2803e+10,1593.42645850452,1070.50123253903,731.51191454396,84.4700082169269,3479.90961380444
"6","Colorado",184700000,142700000,104300000,4900000,436500000,7.8,156000,5.585e+09,1183.97435897436,914.74358974359,668.589743589744,31.4102564102564,2798.07692307692
"7","Connecticut",140400000,146800000,117900000,1300000,406400000,9.5,117000,4.264e+09,1200,1254.70085470085,1007.69230769231,11.1111111111111,3473.50427350427
"8","Delaware",12100000,17100000,25600000,2300000,5.7e+07,6.8,28000,8.43e+08,432.142857142857,610.714285714286,914.285714285714,82.1428571428571,2035.71428571429
"9","District of Columbia",22900000,26100000,23700000,9e+05,73600000,9.5,17000,7.73e+08,1347.05882352941,1535.29411764706,1394.11764705882,52.9411764705882,4329.41176470588
"10","Florida",1059600000,725700000,36300000,22700000,1844300000,8,747000,2.3074e+10,1418.47389558233,971.4859437751,48.5943775100402,30.388219544846,2468.94243641232
"11","Georgia",435700000,239600000,245900000,7200000,928500000,8,364000,1.1677e+10,1196.97802197802,658.241758241758,675.54945054945,19.7802197802198,2550.82417582418
"12","Hawaii",71500000,29900000,54900000,1e+06,157200000,11.8,39000,1.329e+09,1833.33333333333,766.666666666667,1407.69230769231,25.6410256410256,4030.76923076923
"13","Idaho",31400000,19900000,19600000,1e+06,71900000,7.2,30000,1.001e+09,1046.66666666667,663.333333333333,653.333333333333,33.3333333333333,2396.66666666667
